site,year,rotation,xs
gent,2012,cc,90.51144586980763
gent,2012,cs,92.99401017088289
gent,2009,cc,125.40544827017615
gent,2009,cs,71.10611977394575
gent,2005,cc,120.56475839549404
gent,2001,cs,59.083651812675306
gent,2001,cc,99.93981246839704
gent,2019,cc,115.37524785266943
gent,2019,cs,60.472072002368726
gent,2016,cc,86.41146340983482
gent,2007,cc,116.21415216913053
gent,2010,cc,116.01967927428174
gent,2014,cs,65.32901771179073
gent,2010,cs,59.547665392398535
gent,2014,cc,124.43228891186646
gent,2013,cs,56.95332245149822
gent,2016,cs,57.87568184120027
gent,2005,cs,63.85251425295183
gent,2015,cc,125.7708609839948
gent,2013,cc,104.72239455826538
gent,2015,cs,70.37784300473945
gent,2018,cc,114.08916063214569
gent,2006,cc,90.14064732885986
gent,2003,cc,115.06476582129527
gent,2006,cs,56.15351338605709
gent,2011,cs,56.7908227603617
gent,2002,cc,127.4494412504002
gent,2004,cc,136.63828866836243
gent,2002,cs,64.40914126599122
gent,2007,cs,65.5077045210852
gent,2000,cs,63.71723723818325
gent,2000,cc,120.44517457259809
gent,2018,cs,62.54415178622707
gent,2004,cs,69.70096805163621
gent,2008,cc,145.05625685354897
gent,2003,cs,63.962657799290234
gent,2008,cs,72.11431152470911
gent,2011,cc,105.65573346895455
gent,2017,cs,68.2803911618027
gent,2017,cc,102.79840481215908
gilm,2001,cc,73.57133893092728
gilm,2001,cs,37.20397225590789
gilm,2011,cc,82.08533543142033
gilm,2013,cc,113.14533720018996
gilm,2011,cs,56.66418113751052
gilm,2014,cs,82.28025162190224
gilm,2013,cs,82.31841454494247
gilm,2007,cs,70.58234580885951
gilm,2007,cc,97.12062583371255
gilm,2014,cc,117.90837029758796
gilm,2000,cs,56.45634195411443
gilm,2018,cc,83.57935049563186
gilm,2018,cs,60.55790285393599
gilm,2010,cc,132.90014348449552
gilm,2000,cc,67.3429842731988
gilm,2006,cs,67.52282337020648
gilm,2006,cc,81.68640568531939
gilm,2019,cc,81.38725875305467
gilm,2019,cs,57.69378431288762
gilm,2010,cs,69.8698264814764
gilm,2008,cs,57.29314154815443
gilm,2016,cs,58.754745414000574
gilm,2002,cc,115.27184918911385
gilm,2012,cs,79.25054907201746
gilm,2012,cc,110.42386264805113
gilm,2015,cc,113.16100117556834
gilm,2016,cc,97.27166309082774
gilm,2002,cs,61.529419921829025
gilm,2015,cs,57.969545006472465
gilm,2008,cc,103.86376628425381
gilm,2005,cc,96.01675537929623
gilm,2005,cs,60.6203358187395
gilm,2003,cs,81.70490727140412
gilm,2003,cc,106.08068893504085
gilm,2004,cs,89.03707651639152
gilm,2004,cc,129.57674444720078
gilm,2009,cs,82.4181230192404
gilm,2009,cc,124.10399024882766
gilm,2017,cs,78.6657696580551
gilm,2017,cc,102.81384929906163
gold,2012,cs,68.20399376899118
gold,2018,cc,75.47620325688052
gold,2018,cs,48.58978381154922
gold,2014,cs,57.11672993498953
gold,2012,cc,103.40232671101168
gold,2000,cc,123.39433547380303
gold,2014,cc,130.39126377503808
gold,2008,cc,120.78025367743138
gold,2004,cc,114.39973703002792
gold,2019,cc,110.25956400201515
gold,2019,cs,83.7506878754597
gold,2000,cs,60.66722645251699
gold,2015,cc,113.57114962130767
gold,2008,cs,77.87350380322113
gold,2010,cs,74.9538628541946
